Time,Open,High,Low,Close
2018-01-25,0.124,0.1289,0.1108,0.12
2018-01-26,0.1186,0.1243,0.1109,0.1229
2018-01-29,0.1205,0.1279,0.0912,0.0927
2018-01-30,0.0928,0.097,0.0799,0.0805
2018-01-31,0.0797,0.0965,0.0784,0.095
2018-02-01,0.0921,0.105,0.091,0.1008
2018-02-02,0.0966,0.1101,0.0894,0.1085
2018-02-05,0.1069,0.1243,0.1008,0.1233
2018-02-06,0.1181,0.1272,0.1033,0.1128
2018-02-07,0.1202,0.1231,0.0866,0.0875
2018-02-08,0.085,0.0907,0.07,0.0767
2018-02-09,0.0684,0.0955,0.0634,0.0834
2018-02-12,0.0782,0.09,0.059,0.059
2018-02-13,0.0594,0.0818,0.0594,0.0647
2018-02-14,0.068,0.0724,0.0649,0.0684
2018-02-22,0.07,0.081,0.07,0.0736
2018-02-23,0.0747,0.0768,0.0638,0.0687
2018-02-26,0.0698,0.0732,0.0603,0.0655
2018-02-27,0.065,0.068,0.055,0.0552
2018-02-28,0.0553,0.0553,0.046,0.0472
2018-03-01,0.0447,0.0481,0.0419,0.0437
2018-03-02,0.0416,0.049,0.04,0.0402
2018-03-05,0.0393,0.045,0.0362,0.0375
2018-03-06,0.0378,0.0428,0.0347,0.0428
2018-03-07,0.0421,0.0483,0.0393,0.0411
2018-03-08,0.0391,0.0438,0.0391,0.0437
2018-03-09,0.0432,0.0455,0.0424,0.043
2018-03-12,0.0447,0.051,0.0447,0.0481
2018-03-13,0.048,0.0504,0.0424,0.0424
2018-03-14,0.0424,0.0428,0.0405,0.0405
2018-03-15,0.0391,0.0447,0.0391,0.0447
2018-03-16,0.0438,0.049,0.0412,0.0412
2018-03-19,0.0408,0.0456,0.0397,0.0449
2018-03-20,0.044,0.0491,0.044,0.0471
2018-03-21,0.0467,0.0568,0.0467,0.0496
2018-03-22,0.0491,0.0534,0.0477,0.0477
2018-03-23,0.0438,0.0472,0.0363,0.0427
2018-03-26,0.0433,0.0433,0.0395,0.0398
2018-03-27,0.0427,0.0427,0.0382,0.0404
2018-03-28,0.0388,0.04,0.0369,0.0379
2018-03-29,0.0349,0.0401,0.0339,0.0385
2018-03-30,0.0382,0.0394,0.036,0.0377
2018-04-02,0.0366,0.0468,0.036,0.036
2018-04-03,0.034,0.0362,0.0317,0.0324
2018-04-04,0.0323,0.0335,0.0298,0.0306
2018-04-09,0.0299,0.0337,0.0291,0.0299
2018-04-10,0.0294,0.0321,0.0281,0.0321
2018-04-11,0.0332,0.0351,0.0306,0.0346
2018-04-12,0.034,0.034,0.031,0.0312
2018-04-13,0.031,0.0327,0.0294,0.0294
2018-04-16,0.0287,0.0288,0.025,0.0265
2018-04-17,0.0261,0.0265,0.0232,0.0232
2018-04-18,0.0244,0.0257,0.0211,0.0242
2018-04-19,0.0235,0.025,0.0233,0.0249
2018-04-20,0.0239,0.0239,0.0201,0.0207
2018-04-23,0.02,0.0217,0.0187,0.0193
2018-04-24,0.0204,0.0257,0.0199,0.0242
2018-04-25,0.0233,0.0244,0.0215,0.0215
2018-04-26,0.0212,0.022,0.0181,0.0184
2018-04-27,0.0183,0.0192,0.0151,0.0163
2018-05-02,0.0162,0.0176,0.016,0.0162
2018-05-03,0.016,0.018,0.0157,0.0176
2018-05-04,0.0171,0.0184,0.0166,0.0166
2018-05-07,0.0171,0.0185,0.0163,0.0176
2018-05-08,0.0171,0.0193,0.0167,0.0181
2018-05-09,0.0173,0.0182,0.0167,0.0174
2018-05-10,0.017,0.019,0.0168,0.0171
2018-05-11,0.0166,0.017,0.0147,0.0151
2018-05-14,0.0144,0.0157,0.0107,0.0109
2018-05-15,0.0109,0.0109,0.0073,0.0078
2018-05-16,0.0071,0.0081,0.007,0.0072
2018-05-17,0.0069,0.0077,0.0063,0.0063
2018-05-18,0.006,0.0076,0.0056,0.0074
2018-05-21,0.0074,0.0085,0.0072,0.0075
2018-05-22,0.007,0.0075,0.0067,0.0068
2018-05-23,0.0066,0.0072,0.0065,0.0065
2018-05-24,0.0063,0.0077,0.006,0.0061
2018-05-25,0.0058,0.0064,0.0058,0.0061
2018-05-28,0.0058,0.0064,0.0057,0.0057
2018-05-29,0.0054,0.0061,0.0054,0.0056
2018-05-30,0.0051,0.0062,0.005,0.006
2018-05-31,0.0063,0.0066,0.0058,0.0066
2018-06-01,0.006,0.0069,0.006,0.006
2018-06-04,0.0057,0.0071,0.0057,0.0068
2018-06-05,0.0064,0.0081,0.0057,0.0073
2018-06-06,0.0069,0.0072,0.0065,0.0066
2018-06-07,0.0068,0.01,0.0068,0.0072
2018-06-08,0.0067,0.0072,0.0059,0.006
2018-06-11,0.0057,0.0063,0.0055,0.0056
2018-06-12,0.0054,0.0508,0.0054,0.0064
2018-06-13,0.0062,0.0064,0.0042,0.0044
2018-06-14,0.0041,0.0124,0.0041,0.0045
2018-06-15,0.0043,0.005,0.0043,0.0048
2018-06-19,0.0044,0.0054,0.0041,0.0049
